station_id,time,min_value,max_value,mean_value,perc_of_norm
13,2019-04-10,32,50,42,84
13,2019-04-11,33,61,42,84
13,2019-04-12,31,71,44,88
13,2019-04-13,46,92,64,128
13,2019-04-14,24,73,45,90
13,2019-04-15,13,85,37,74
13,2019-04-16,12,82,38,76
13,2019-04-17,15,100,37,74
13,2019-04-18,15,117,45,90
13,2019-04-19,6,101,36,72
13,2019-04-20,6,60,27,54
13,2019-04-21,4,51,23,46
13,2019-04-22,10,38,25,50
13,2019-04-23,12,39,23,46
13,2019-04-25,7,42,20,40
13,2019-04-26,5,27,14,28
13,2019-04-27,10,48,26,52
13,2019-04-28,26,58,42,84
13,2019-04-29,8,40,19,38
13,2019-04-30,18,48,28,56
